"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PL PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","","",".","",".",".","20.0",".",".","."
"Sophomore","","33","3.707","66.7","15.2","18.2",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","56","3.831","83.9","8.9","5.4",".","1.8","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","87","3.671","62.1","23.0","10.3","4.6",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","181","3.723","69.1","17.7","9.9","2.2","0.6","",".","",".",".","",".",".","",".",".","0.6",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","80","3.816","45.0","5.0","5.0",".",".","",".","",".","16.3","",".",".","",".","28.8",".",".",".","."
"","Dept. Total","263","3.739","61.6","13.7","8.4","1.5","0.4","",".","",".","5.3","",".",".","",".","8.7","0.4",".",".","."
