"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cropping Systems
300","001","","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Plant Nutrition Management
326","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Breeding&Biotechnolgy
338","001","","25","3.771","76.0","8.0","4.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition
350","001","","60","3.467","33.3","46.7","8.3","6.7","3.3","1.7",".",".",".",".",".",".",".",".",".","."
"GM Crops:Sci,Reg,Controversy
360","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture
367","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","040","","24","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.765","76.0",".","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Food Product & Health
377","001","","173","3.983","98.3","0.6","0.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Production & Sustainblty
471","001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience
500","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Special Problems
699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Experimental Designs
771","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Applications in ANOVA
772","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum-Agronomy Teaching
799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Thry-Quant Traits
812","003","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar
920","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","54.1",".",".",".","45.9",".",".",".","."
