"","990
075","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
078","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
084","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","24","",".",".",".",".",".",".","",".","83.3","",".",".","",".","8.3",".",".","8.3","."
"810
POP HLTH","Dept. Total","575","3.760","61.4","16.5","9.0","1.2","0.7","0.2","",".","9.9","",".",".","",".","0.3","0.2",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","86","3.813","75.6","15.1","7.0","1.2","1.2",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","124","3.677","60.5","21.8","12.9","2.4","2.4",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","141","3.723","63.1","22.7","12.1","1.4",".","0.7","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","354","3.728","65.3","20.3","11.3","1.7","1.1","0.3","",".",".","",".",".","",".",".",".",".",".","."
"Special","","8","4.000","50.0",".",".",".",".",".","",".","37.5","",".",".","",".",".",".",".","12.5","."
"Graduate","","154","3.842","64.9","11.0","6.5","0.6",".",".","",".","13.6","",".",".","",".","1.3","0.6",".","1.3","."
"Prof Yr 1","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","15","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","43","3.827","39.5","14.0","4.7",".",".",".","",".","41.9","",".",".","",".",".",".",".",".","."
"Professionals","","59","3.833","30.5","10.2","3.4",".",".",".","",".","55.9","",".",".","",".",".",".",".",".","."
"","Dept. Total","575","3.760","61.4","16.5","9.0","1.2","0.7","0.2","",".","9.9","",".",".","",".","0.3","0.2",".","0.5","."
