"ENVIR ST - GAYLORD NELSON I Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Global Environmentl Governance
866","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Seminar
900","003","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar
911","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"CHE Methods Seminar
922","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Environ Remote Sensing
956","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Environ Sensing Technologies
971","001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"978","001","","22","3.705","54.5","36.4","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"978","002","","29","3.845","86.2","6.9",".","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"978","003","","22","3.711","59.1","18.2",".","4.5","4.5",".",".",".",".",".",".",".","13.6",".",".","."
"978","004","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"978","005","","22","3.476","50.0","31.8",".","4.5","4.5",".","4.5",".",".",".",".",".","4.5",".",".","."
"978","006","","22","3.750","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"978","007","","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Envir Cons Tools Modules","Course Total","","153","3.758","71.2","17.6","2.0","3.3","2.6",".","0.7",".",".",".",".",".","2.6",".",".","."
"Env Cons Professional Practice
979","001","","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Earth System Sci Seminar
980","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 175 of 480",""
