"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","",""
"HEC","College Total","6234","3.681","66.0","17.1","8.4","3.7","2.2","0.9","0.3","1.0","",".",".","",".","0.1","0.1","0.0","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"HEC","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","339","3.576","67.3","12.7","10.3","4.1","2.1","2.1","1.2",".","",".",".","",".",".","0.3",".",".","."
"Sophomore","","1239","3.722","70.9","16.7","7.3","2.3","1.5","1.1","0.2",".","",".",".","",".",".","0.1",".",".","."
"Junior","","2106","3.710","67.7","17.2","9.2","2.9","1.9","0.4","0.5",".","",".",".","",".",".","0.1",".",".","."
"Senior","","2288","3.638","62.2","19.4","8.7","5.3","2.8","1.3","0.2","0.0","",".",".","",".",".","0.0",".",".","."
"Undergraduates","","5972","3.676","66.2","17.7","8.7","3.8","2.2","1.0","0.4","0.0","",".",".","",".",".","0.1",".",".","."
"Special","","48","3.813","39.6",".",".","2.1","2.1",".",".","37.5","",".",".","",".",".",".","6.3","12.5","."
"Graduate","","214","3.875","66.8","5.6","1.4","0.5","1.9",".",".","19.2","",".",".","",".","3.7","0.9",".",".","."
"","College Total","6234","3.681","66.0","17.1","8.4","3.7","2.2","0.9","0.3","1.0","",".",".","",".","0.1","0.1","0.0","0.1","."
