"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"PUBLIC AFFAIRS & PUBLIC POLI Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
826
PUB AFFR","669","3.826","74.3","17.0","4.0","1.2","1.0","",".","0.1","1.6","",".",".","",".","",".","",".",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","19","3.737","68.4","15.8","10.5","5.3",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","95","3.863","80.0","15.8","2.1","1.1","1.1","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","130","3.900","90.0","6.2","2.3",".","0.8","",".","0.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","183","3.855","78.7","15.3","4.9","0.5","0.5","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","427","3.865","82.0","12.6","3.7","0.7","0.7","",".","0.2",".","",".",".","",".","",".","",".",".",".","."
"Special","9","4.000","55.6",".",".",".",".","",".",".","11.1","",".",".","",".","",".","",".",".","33.3","."
"Graduate","209","3.734","60.3","25.4","5.3","2.4","1.9","",".",".","4.3","",".",".","",".","",".","",".",".","0.5","."
"Prof Yr 2","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","19","3.842","68.4","31.6",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","24","3.848","66.7","29.2",".",".",".","",".",".","4.2","",".",".","",".","",".","",".",".",".","."
"Dept. Total","669","3.826","74.3","17.0","4.0","1.2","1.0","",".","0.1","1.6","",".",".","",".","",".","",".",".","0.6","."
