"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Capstone Consulting Practicum","Course Total","117","3.782","68.4","20.5","10.3","0.9",".",".",".",".","",".",".",".","",".",".",".",".","."
"Current Topics: Bus Analytics","840
010","108","3.968","94.4","4.6","0.9",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"Business Stats Using Python","881
080","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"SQL Fundamentals","882
080","26","3.635","69.2","11.5","7.7","7.7",".","3.8",".",".",".","",".",".",".","",".",".",".","."
"Data Visualization Cloud Tech","883
080","26","3.846","76.9","15.4","7.7",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"231
GEN BUS","Dept. Total","4284","3.364","33.8","20.3","13.7","6.9","4.2","0.6","0.5","0.4","",".","19.4","0.2","",".","0.0","0.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","191","3.135",".","3.1","2.6","1.0",".",".",".",".","",".","92.7","0.5","",".",".",".",".","."
"Sophomore","","862","3.110","12.5","10.8","13.8","7.1","5.8","0.5","0.6",".","",".","48.4","0.3","",".","0.1","0.1",".","."
"Junior","","1189","3.260","25.5","25.2","17.4","9.8","6.2","1.0","0.7","0.2","",".","13.8","0.2","",".",".",".",".","."
"Senior","","1215","3.383","34.2","28.8","16.7","8.6","4.7","0.6","0.5","0.2","",".","5.5","0.2","",".",".",".",".","."
"Undergraduates","","3457","3.288","23.9","21.7","15.4","8.2","5.2","0.7","0.5","0.1","",".","23.9","0.2","",".","0.0","0.0",".","."
"Special","","32","3.192","18.8","12.5","28.1","3.1",".",".","3.1","31.3","",".","3.1",".","",".",".",".",".","."
"Graduate","","795","3.826","77.6","14.5","5.5","1.1","0.1","0.1","0.1",".","",".","0.9",".","",".",".",".",".","."
"","Dept. Total","4284","3.364","33.8","20.3","13.7","6.9","4.2","0.6","0.5","0.4","",".","19.4","0.2","",".","0.0","0.0",".","."
