"","999
046","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
050","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
060","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
071","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Studies","Course Total","12","3.684","91.7",".",".",".","8.3",".",".",".","",".",".","",".",".",".",".",".","."
"252
CS&D","Dept. Total","1177","3.733","73.7","12.5","6.8","2.3","2.0","0.8","0.6","0.8","",".",".","",".","0.3","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.076","27.3","24.2","18.2","15.2","6.1","9.1",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","118","3.469","43.2","27.1","17.8","5.1","6.8",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","211","3.546","55.5","22.3","12.3","5.2","2.4","0.9","1.4",".","",".",".","",".",".",".",".",".","."
"Senior","","341","3.729","75.4","12.3","5.9","1.5","2.1","1.2","1.2","0.3","",".",".","",".",".",".","0.3",".","."
"Undergraduates","","703","3.598","61.7","18.3","10.4","3.8","3.1","1.3","1.0","0.1","",".",".","",".",".",".","0.1",".","."
"Special","","27","3.962","96.3",".","3.7",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","280","3.962","88.2","4.3","2.1",".","0.4",".",".","2.9","",".",".","",".","1.1","1.1",".",".","."
"Prof Yr 1","","72","3.940","91.7","8.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","41","4.000","97.6",".",".",".",".",".",".",".","",".",".","",".",".",".",".","2.4","."
"Prof Yr 3","","54","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","167","3.977","95.8","3.6",".",".",".",".",".",".","",".",".","",".",".",".",".","0.6","."
"","Dept. Total","1177","3.733","73.7","12.5","6.8","2.3","2.0","0.8","0.6","0.8","",".",".","",".","0.3","0.3","0.1","0.1","."
