"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","17","3.706","82.4",".","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","100
005","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","13","3.692","76.9",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
008","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","16","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","17","3.824","94.1",".",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","100
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","18","3.389","77.8",".","5.6",".","5.6",".","11.1",".",".",".",".",".",".",".",".","."
"","100
020","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
022","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","16","3.813","81.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
024","16","3.781","87.5",".",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
025","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","17","3.750","82.4",".","5.9",".",".","5.9",".",".",".",".",".",".","5.9",".",".","."
"Introduction to Art","Course Total","381","3.855","88.2","3.9","3.4","1.8","1.3","0.5","0.5",".",".",".",".",".","0.3",".",".","."
"","102
001","16","3.813","87.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
002","15","3.767","80.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","17","3.706","76.5","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
006","18","3.694","77.8",".","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","96","3.807","84.4","3.1","5.2","4.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"","104
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","71","3.923","85.9","12.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","107
001","161","3.879","85.7","9.3","3.1",".","1.2","0.6",".",".",".",".",".",".",".",".",".","."
"","112
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","16","3.531","68.8","18.8",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","112
005","15","3.633","73.3",".","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 76 of 480"
