"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
008","15","3.333","46.7","6.7","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
009","15","3.033","46.7","6.7","20.0","13.3",".",".","13.3",".",".",".",".",".",".",".",".","."
"","344
010","17","3.294","41.2","5.9","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
011","13","3.192","15.4","15.4","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
012","16","3.125","18.8","6.3","56.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
013","17","3.412","47.1","17.6","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
014","15","3.200","26.7","6.7","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
015","15","3.233","20.0","33.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
016","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
017","12","3.000","25.0","25.0","25.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","344
018","15","3.200","33.3","6.7","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
019","15","3.233","26.7","13.3","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
020","15","3.367","46.7",".","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
021","14","3.286","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
022","14","3.107","21.4","14.3","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
023","12","3.292","33.3","8.3","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
024","11","3.364","36.4","36.4",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","344
027","13","3.115","23.1","15.4","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
028","16","3.219","37.5","12.5","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
029","13","3.154","23.1",".","69.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
030","17","3.412","47.1",".","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
031","13","3.077","15.4","23.1","38.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","344
032","17","3.382","47.1","5.9","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
033","17","3.353","41.2",".","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
034","12","3.042","16.7",".","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
037","17","3.147","11.8","29.4","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
039","11","3.136","27.3","18.2","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","504","3.231","30.4","14.3","35.7","13.3","5.6","0.2","0.6",".",".",".",".",".",".",".",".","."
"","345
001","178","2.857","24.2","11.8","24.7","13.5","16.9","6.2","2.8",".",".",".",".",".",".",".",".","."
"","345
002","186","3.043","28.5","14.5","27.4","9.1","16.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"","345
003","119","2.567","13.4","10.1","26.1","9.2","31.1","4.2","5.9",".",".",".",".",".",".",".",".","."
"","345
004","31","3.532","54.8","9.7","29.0",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"","345
005","162","2.873","25.9","11.7","25.3","9.9","17.9","4.3","4.3",".",".",".",".",".",".","0.6",".","."
"","345
006","186","2.852","19.9","14.0","33.3","3.8","21.5","4.3","3.2",".",".",".",".",".",".",".",".","."
"Organic Chemistry II","Course Total","862","2.883","24.1","12.5","27.6","8.7","19.5","4.1","3.4",".",".",".",".",".",".","0.1",".","."
"Industrial Chem and Business","505
001","10","3.000","20.0","20.0","20.0","20.0",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"Advanced Inorganic Chemistry","511
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","512
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","512
002","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Synthesis Lab","Course Total","8","3.036",".","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","29","3.638","44.8","41.4","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","44","3.000","22.7","18.2","25.0","18.2","11.4","2.3","2.3",".",".",".",".",".",".",".",".","."
