"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"","307","002","","17","3.647","70.6","11.8","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","307","003","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","005","","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307","007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","008","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","","Course Total","","75","3.860","86.7","5.3","4.0","1.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","314","001","","33","3.667","66.7","18.2","6.1","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","318","002","","24","3.708","70.8","12.5","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Language, Race, and Identity","319","001","","33","3.672","72.7","6.1","6.1","3.0","9.1",".",".",".",".",".",".",".","3.0",".",".","."
"Child Language","320","001","","27","3.704","70.4","7.4","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","003","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modernist Poetry","352","001","","29","3.944","82.8","10.3",".",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"Chicana/o & Latina/o Lit","368","001","","14","3.679","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Poetry","373","001","","30","3.828","66.7","26.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Lit of Migration and Diaspora","375","001","","17","3.500","47.1","11.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407","001","","14","3.714","78.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","408","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408","003","","15","3.733","80.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","","Course Total","","41","3.854","85.4","9.8","2.4",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"","409","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409","002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","","Course Total","","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410","001","","13","3.692","84.6",".",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","414","001","","40","3.788","85.0","7.5","2.5",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","415","001","","18","3.794","72.2","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".","."
"Figure(s) in Lit before 1800","422","001","","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Medieval Literature","423","001","","29","3.327","20.7","31.0","24.1","13.8",".",".",".","10.3",".",".",".",".",".",".",".","."
"Early Works of Shakespeare","431","001","","28","3.839","82.1","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Topic in 18th-Century Lit","438","001","","28","3.661","82.1","10.7",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Outstanding Figure(s) in Lit","443","001","","29","3.741","82.8","6.9",".","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"James Joyce","454","001","","16","3.156","25.0","37.5","18.8","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Figure in American Lit","455","001","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Topic in American Lit","457","001","","23","3.478","39.1","30.4","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","459","001","","27","3.407","59.3","7.4","11.1","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"","459","002","","29","3.518","48.3","20.7","10.3","17.2",".",".",".","3.4",".",".",".",".",".",".",".","."
"Three American Novelists","","Course Total","","56","3.464","53.6","14.3","10.7","16.1","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"","461","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
