"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","177
003","25","3.720","48.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","177
004","23","3.739","73.9",".","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Popular Culture","Course Total","102","3.725","63.7","23.5","9.8","2.0",".","1.0",".",".",".",".",".",".",".",".",".","."
"Digital Media, Lit, Culture","178
001","277","3.892","86.6","9.4","2.2","0.7","0.4","0.7",".",".",".",".",".",".",".",".",".","."
"First-Year Honors Seminar","181
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literature for Honors","182
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Studio","200
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","18","3.917","94.4",".",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","18","3.472","72.2","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","201
008","19","3.789","78.9","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","167","3.868","88.6","5.4","3.0","1.8",".",".","1.2",".",".",".",".",".",".",".",".","."
"","207
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
002","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
009","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
010","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
011","13","3.591","53.8",".","23.1","7.7",".",".",".",".",".",".",".",".","15.4",".",".","."
"Intro to Creative Writing","Course Total","114","3.871","82.5","7.0","7.9","0.9",".",".",".",".",".",".",".",".","1.8",".",".","."
"Bascom Course","236
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Culture I","241
001","125","3.560","57.6","25.6","6.4","4.0","1.6","0.8","3.2",".",".",".",".",".","0.8",".",".","."
"Literature and Culture II","242
001","107","3.764","62.6","26.2","5.6","2.8",".",".",".","0.9",".",".",".",".","1.9",".",".","."
"","245
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","245
003","16","3.438","62.5","12.5","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","245
005","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
006","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
007","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar in the Major","Course Total","90","3.837","84.4","7.8","3.3",".","2.2",".","1.1",".",".",".",".",".","1.1",".",".","."
"Literature by Amer Ind Women","246
001","25","3.580","44.0","32.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","248
001","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248
002","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","Course Total","25","3.760","64.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Rhetoric","304
001","24","3.792","79.2","12.5",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
