"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","","",""
"Colloq in Life Sci Communicatn
700","001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch
811","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology and Society
833","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Opinion-Life Sci Issues
902","001","","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"Independent Research
999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"120
LSC","Dept. Total","","821","3.770","73.1","11.4","6.2","1.6","1.1","0.2","1.1","0.9",".","3.8",".","0.2","0.1","0.1","0.1","."
