"","990
095","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
098","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
099","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","55","",".",".",".",".","",".","",".","",".","58.2","1.8",".","",".","40.0","",".",".",".","."
"621
MED PHYS","Dept. Total","267","3.746","53.2","18.0","7.5","0.4","",".","",".","",".","12.4","0.4",".","",".","8.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","12","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","19","3.682","63.2","10.5","21.1","5.3","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","35","3.809","77.1","8.6","11.4","2.9","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Graduate","","230","3.734","49.1","19.6","7.0",".","",".","",".","",".","14.3","0.4",".","",".","9.6","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","267","3.746","53.2","18.0","7.5","0.4","",".","",".","",".","12.4","0.4",".","",".","8.2","",".",".",".","."
