"Intro Cross-Cultrl Lit Form","203
001","","15","3.933","93.3",".","6.7",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Problms in Comp Lit & Cultures","350
001","","12","3.773","66.7","8.3","16.7",".","","",".","",".","",".","8.3",".","",".",".","",".","","",".",".",".","."
"Research and Thesis","990
022","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"260
COMP LIT","Dept. Total","","28","3.865","78.6","3.6","10.7","",".","",".","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","12","3.917","91.7",".","8.3","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","12","3.792","75.0","8.3","16.7","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","26","3.865","84.6","3.8","11.5","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","28","3.865","78.6","3.6","10.7","",".","",".","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
