"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","Dept. Total","2451","3.521","49.0","23.7","11.1","5.6","2.7","1.3","0.9","3.8","",".","0.6","",".","0.3","0.9",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","3.133","27.8","25.9","20.4","14.8","5.6","2.8","2.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","521","3.514","47.4","28.2","12.3","6.5","3.1","1.3","0.4",".","",".","0.2","",".",".","0.6",".",".","."
"Junior","","791","3.532","53.2","22.5","11.9","5.4","2.4","1.6","1.0","0.1","",".","0.6","",".",".","1.1",".",".","."
"Senior","","809","3.572","54.8","23.9","9.8","4.7","2.8","0.9","1.0","0.4","",".","1.0","",".",".","0.9",".",".","."
"Undergraduates","","2229","3.518","51.2","24.5","11.6","5.9","2.9","1.3","0.9","0.2","",".","0.6","",".",".","0.9",".",".","."
"Special","","64","3.331","14.1","7.8","4.7","6.3","3.1",".",".","57.8","",".",".","",".",".",".",".","6.3","."
"Graduate","","158","3.655","32.9","19.0","6.3","1.3",".","0.6",".","32.3","",".",".","",".","4.4","1.9",".","1.3","."
"","Dept. Total","2451","3.521","49.0","23.7","11.1","5.6","2.7","1.3","0.9","3.8","",".","0.6","",".","0.3","0.9",".","0.2","."
