"PUBLIC AFFAIRS & PUBLIC POLI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","94","3.819","83.0","9.6","3.2","1.1","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"Intro to Health Policy in U.S.","201
001","","92","3.928","87.0","8.7","1.1","1.1",".",".",".",".",".",".",".",".",".",".","2.2","."
"","240
001","","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
003","","29","3.845","69.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Policy Making","Course Total","","50","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","274
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","274
002","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Policy","Course Total","","38","3.882","81.6","13.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","281
001","","43","3.860","86.0","4.7","7.0",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","327
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","380
003","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
004","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
005","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","","73","3.890","84.9","9.6","4.1","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","799
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Affairs Seminar Series","802
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Energy Analysis & Policy Capst","810
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intr Stat Meths-Pub Pol Analys","818
001","","40","3.325","35.0","25.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Internship","827
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","28","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","34","3.868","73.5","26.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","25","3.708","44.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Intro to Policy Analysis","Course Total","","46","3.678","41.3","50.0","6.5",".",".",".",".",".",".",".",".",".",".",".","2.2","."
"","878
001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
002","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","Course Total","","32","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Budgeting","892
001","","17","3.875","76.5","11.8","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","974
001","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","21","3.857","81.0","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
