"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","340
004","130","2.904","24.6","5.4","30.0","15.4","21.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","448","2.990","26.1","7.8","30.1","14.7","19.2","1.6","0.4",".",".",".",".",".",".",".",".","."
"","351
001","54","3.167","20.4","27.8","29.6","16.7","1.9","3.7",".",".",".",".",".",".",".",".",".","."
"","351
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","Course Total","62","3.266","29.0","25.8","25.8","14.5","1.6","3.2",".",".",".",".",".",".",".",".",".","."
"","371
001","114","2.885","27.2","14.0","18.4","12.3","18.4","5.3","3.5",".",".",".",".",".","0.9",".",".","."
"","371
002","132","2.871","27.3","6.8","20.5","18.9","20.5","4.5","1.5",".",".",".",".",".",".",".",".","."
"","371
005","123","2.841","27.6","10.6","18.7","11.4","21.1","9.8","0.8",".",".",".",".",".",".",".",".","."
"","371
006","119","2.839","26.1","6.7","23.5","16.8","17.6","5.9","2.5",".",".",".",".",".","0.8",".",".","."
"Intro Applied Stats-Life Sci","Course Total","488","2.859","27.0","9.4","20.3","15.0","19.5","6.4","2.0",".",".",".",".",".","0.4",".",".","."
"Internship Class CS & Data Sci","403
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Sci Computing Project","405
001","61","3.352","44.3","24.6","13.1","9.8","3.3","1.6","3.3",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","39","3.500","35.9","28.2","35.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","431
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","15","3.267","53.3",".","33.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","436
001","85","3.535","45.9","29.4","16.5","4.7","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"","436
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Data Visualization","Course Total","87","3.546","47.1","28.7","16.1","4.6","2.3","1.1",".",".",".",".",".",".",".",".",".","."
"","451
001","58","3.310","34.5","20.7","25.9","10.3","8.6",".",".",".",".",".",".",".",".",".",".","."
"","451
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","Course Total","66","3.379","39.4","21.2","22.7","9.1","7.6",".",".",".",".",".",".",".",".",".",".","."
"","453
001","68","3.610","42.6","41.2","13.2","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","453
002","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Deep Learning","Course Total","85","3.612","42.4","41.2","14.1","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"","456
001","37","3.500","35.1","37.8","18.9","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"","456
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Multivariate Analysis","Course Total","40","3.525","37.5","37.5","17.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","11","2.227",".",".","36.4","9.1","36.4","18.2",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","34","3.419","26.5","29.4","29.4","5.9",".",".",".","8.8",".",".",".",".",".",".",".","."
"","575
001","27","3.315","51.9","14.8","3.7","11.1","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","575
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Meths-Spatial Data","Course Total","28","3.339","53.6","14.3","3.6","10.7","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","601
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computing in Data Sci & Stat","606
001","38","3.382","36.8","42.1","5.3","2.6","10.5",".","2.6",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 355 of 480",""
