"AMN","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","",""
"","102
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Heritage and Values II","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Team, Leadrshp Fundamentals II","Course Total","","25","3.800","68.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Leadng People, Effctve Comm II","302
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadrshp & Commissioning Prep","402
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Laboratory II","502
001","","58","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"102
A F AERO","Dept. Total","","118","3.915","42.4","7.6",".","0.8",".",".",".","49.2",".",".",".",".",".",".",".","."
