"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","62","3.460","51.6","19.4","11.3","9.7","1.6",".","3.2",".",".",".","",".",".","3.2",".",".","."
"Junior","","50","3.351","56.0","28.0",".","2.0","6.0","6.0","2.0",".",".",".","",".",".",".",".",".","."
"Senior","","67","3.389","56.7","13.4","14.9","4.5","1.5","3.0","4.5","1.5",".",".","",".",".",".",".",".","."
"Undergraduates","","184","3.385","53.8","19.0","9.8","7.1","2.7","2.7","3.3","0.5",".",".","",".",".","1.1",".",".","."
"Special","","5","***","","","","","","","","","",".","",".",".",".","20.0","40.0","."
"Graduate","","100","3.835","64.0","5.0","3.0",".","2.0",".",".","18.0","1.0",".","",".","7.0",".",".",".","."
"","Dept. Total","289","3.521","56.7","13.8","7.3","4.5","2.4","1.7","2.1","6.9","0.3",".","",".","2.4","0.7","0.3","0.7","."
