"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"Interprof Collab Pract in HIV
467","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","169","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","191","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","198","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","235","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","241","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 404 of 480",""
