"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Discovering Food Science","201","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Intro to Sci & Technol of Food","301","001","","41","2.951","14.6","24.4","24.4","19.5","12.2","4.9",".",".",".",".",".",".",".",".",".","."
"Food Laws and Regulations","321","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Analysis","412","001","","12","2.708","16.7","16.7","16.7","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"Principles-Food Preservation","432","001","","12","3.000","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Animal Ag & Sustainable Devel","472","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chem & Technol-Dairy Products","511","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Food Functionality","514","001","","15","3.433","46.7","6.7","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Commercial Meat Processing","515","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fermented Foods and Beverages","550","001","","34","3.667","50.0","17.6","20.6",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Food Fermentation Laboratory","551","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","603","001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem & Technol-Dairy Products","611","001","","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Food Microbio","725","001","","8","3.000","25.0","37.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Seminar Advanced","900","001","","35","3.800","82.9","11.4",".",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","990","009","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","39","",".",".",".",".",".",".",".","87.2","2.6",".",".","10.3",".",".",".","."
