"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","11","3.722","45.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".","9.1",".","."
"Introduction to Education","140
003","91","3.833","82.4","6.6","6.6",".","3.3",".",".",".",".",".",".",".","1.1",".",".","."
"History of Race and Inequality","143
001","27","3.389","63.0","18.5",".","7.4",".","3.7","7.4",".",".",".",".",".",".",".",".","."
"Intro to Education Policy","145
001","48","3.917","89.6","6.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","37","3.986","94.6","2.7",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"","150
006","15","3.767","80.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
008","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","150
009","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","128","3.944","91.4","4.7","1.6",".","0.8",".",".",".",".",".",".",".","0.8","0.8",".","."
"Race,Ethnicty&Inequal-Am Ed","200
001","46","3.778","73.9","17.4","4.3",".",".",".","2.2",".",".",".",".",".","2.2",".",".","."
"Internship in Education","203
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Social Inequality","205
001","15","3.700","73.3","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Methods in Ed Pol","209
001","46","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","70","3.870","82.9","8.6","4.3","2.9",".",".",".",".",".",".",".",".","1.4",".",".","."
"","210
002","47","3.777","78.7","10.6","8.5",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","210
003","49","3.980","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","166","3.876","85.5","7.8","4.2","1.2",".",".","0.6",".",".",".",".",".","0.6",".",".","."
"","212
001","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","49","3.878","83.7","10.2","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Education for Social Justice","Course Total","77","3.903","85.7","10.4","2.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001","19","3.789","84.2","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","220
002","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","48","3.875","85.4","10.4",".","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Wealth, Poverty and Inequality","237
001","27","3.900","74.1","18.5",".",".",".",".",".",".",".",".",".",".","3.7","3.7",".","."
"Comparative Education","240
001","91","3.534","60.4","15.4","8.8","7.7","1.1","2.2","2.2",".",".",".",".",".","2.2",".",".","."
"","300
001","48","3.781","79.2","8.3","4.2","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","300
002","49","3.949","91.8","6.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","45","3.856","88.9","6.7","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","142","3.863","86.6","7.0","2.8","2.1","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"Democracy and Education","305
001","24","3.708","75.0","16.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Climate Chng, Sustain, and Ed","320
002","96","3.803","76.0","13.5","3.1","2.1","3.1",".",".","1.0",".",".",".",".","1.0",".",".","."
"Globalization and Education","335
001","25","3.620","84.0","4.0","4.0",".",".",".","8.0",".",".",".",".",".",".",".",".","."
"Economics of Education","345
001","24","3.792","83.3","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Topics in Education Studies","350
002","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
