"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","6","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","7","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","34","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","202","3.894","85.1","8.9","1.5","0.5","1.0","",".","",".","",".","",".","3.0","",".","",".","",".",".",".","."
"Prof Yr 2","395","3.518","62.5","16.7","11.9","7.1","1.5","",".","",".","",".","",".",".","",".","",".","",".",".","0.3","."
"Prof Yr 3","650","3.603","77.4","8.5","5.8","5.1","3.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","290","3.939","91.0","6.6","1.0","1.4",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1537","3.751","77.2","10.3","5.9","4.3","1.9","",".","",".","",".","",".","0.4","",".","",".","",".",".","0.1","."
