"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Issues in Social Philosophy
557","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Issues in Health Care
558","001","","12","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metaphysics
560","001","","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","001","","27","3.304","22.2","29.6","18.5","7.4","7.4",".",".","11.1",".",".",".",".","3.7",".",".","."
"562","003","","6","4.000","33.3",".",".",".",".",".",".",".",".",".",".",".","66.7",".",".","."
"Spec Topics in Metaphysics","Course Total","","33","3.360","24.2","24.2","15.2","6.1","6.1",".",".","9.1",".",".",".",".","15.2",".",".","."
"Directed Study
599","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"701","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced History-Philosophy
835","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Epistemology
903","001","","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"Smr-Philos of Language
916","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"941","001","","9","3.917","55.6","11.1",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"941","002","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Seminar-Ethics","Course Total","","15","3.864","53.3","20.0",".",".",".",".",".",".",".",".",".",".","26.7",".",".","."
"Metaphysics Seminar
960","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","20","",".",".",".",".",".",".",".","85.0",".",".",".","15.0",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
