"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","146","3.048","20.5","21.9","28.1","13.7","11.0","3.4","0.7",".",".",".",".",".",".",".","0.7","."
"Disability & Crim Justice Syst","135","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","41","3.115","9.8","22.0","46.3","14.6","2.4",".",".","4.9",".",".",".",".",".",".",".","."
"","400","027","34","3.530","58.8","14.7","5.9","11.8","2.9","2.9",".",".",".",".",".",".",".","2.9",".","."
"","400","033","24","3.479","41.7","20.8","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","58","3.509","51.7","17.2","15.5","10.3","1.7","1.7",".",".",".",".",".",".",".","1.7",".","."
"Jurisprudence","407","001","47","3.685","61.7","25.5","4.3","2.1","2.1","2.1",".",".",".",".",".",".",".","2.1",".","."
"Women and the Law","422","001","57","3.868","91.2",".","3.5","1.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"","425","001","24","3.500","37.5","37.5","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","425","002","39","3.716","59.0","23.1","10.3",".","2.6",".",".",".",".",".",".",".","2.6","2.6",".","."
"Crime, Gender and Justice","","Course Total","63","3.631","50.8","28.6","12.7","1.6","3.2",".",".",".",".",".",".",".","1.6","1.6",".","."
"Law and Environment","430","001","8","3.429","25.0","37.5","12.5","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Immigration, Crime, Enforcemnt","443","001","43","3.679","60.5","18.6","14.0","2.3","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Law in Action","444","001","67","3.724","74.6","10.4","9.0","3.0","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","450","029","62","3.718","75.8","6.5","8.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Rule of Law:Philos&Hist Models","459","001","27","3.722","55.6","37.0","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Health and Social Needs","473","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Forensic Science","477","001","22","3.341","9.1","59.1","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Legal Pluralism","510","001","24","3.432","29.2","33.3","20.8","4.2","4.2",".",".","4.2",".",".",".",".",".",".","4.2","."
"Introduction to Cyberlaw","663","003","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","694","001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","694","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","","Course Total","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
