"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Drawing I","Course Total","","86","3.814","83.7","8.1","2.3","3.5","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","176
001","","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","176
002","","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
004","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
006","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","","68","3.919","91.2","5.9",".","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","","130","3.742","78.5","8.5","4.6","2.3","2.3","0.8","1.5",".",".",".",".",".","0.8",".","0.8","."
"","212
001","","14","3.571","71.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","212
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","","17","3.824","94.1",".",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","","60","3.842","90.0","5.0","1.7",".",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"","214
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","","21","3.786","81.0","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","222
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","","33","3.939","97.0",".",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","224
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","224
003","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","55","3.972","92.7","5.5",".",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Life Drawing I","232
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
002","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","37","3.770","75.7","8.1","13.5",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Making Comics 1","Course Total","","32","3.891","87.5","3.1","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Art and Code","309
001","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","312
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video, Perf & Installation Art","318
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 77 of 480"
