"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Lit","201
001","82","3.884","84.1","11.0","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Cultural Studies","202
001","16","3.406","50.0","12.5","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in African Lit","203
001","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics African Languages","204
001","24","3.667","62.5","20.8","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","210
001","16","3.400","37.5","12.5",".",".","6.3","6.3",".","37.5",".",".",".",".",".",".",".","."
"","210
002","15","3.633","73.3","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","210
003","23","3.500","47.8","21.7","13.0","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","24","3.458","54.2","12.5","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","210
005","20","3.650","55.0","30.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","210
006","22","3.455","63.6","9.1","9.1","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","210
007","21","3.595","42.9","38.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","163","3.580","57.1","18.4","11.0","4.9","2.5","1.8","0.6","3.7",".",".",".",".",".",".",".","."
"Intro to Afr Pop Culture","212
001","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","20","2.808","15.0","25.0","10.0",".",".","5.0","10.0","35.0",".",".",".",".",".",".",".","."
"African Lit and Visual Culture","303
001","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","11","3.650","54.5","18.2","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","322
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","14","3.615","50.0","21.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Arabic","330
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Swahili","Course Total","3","***","","","","","","","","","","","","","","","",""
"","334
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","334
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Swahili","Course Total","2","***","","","","","","","","","","","","","","","",""
"Second Semester Hausa","362
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","Course Total","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","374
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Yoruba","Course Total","5","***","","","","","","","","","","","","","","","",""
"Theories of Afr Cult Studies","403
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in African Languages","407
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Muslims and Jews","462
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
