"TERM : 1244","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2023-2024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANESTHESIOLOGY","Section
#","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTICU Anesthes Elective","Course Total
10","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"","940
001
2","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"","940
003
2","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"","940
005
1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"","940
008
2","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Integrated Elec in Pain Mgmt","Course Total
7","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"148
ANESTHES","Dept. Total
81","4.000","9.9","",".","",".",".","",".","",".","",".","87.7","",".",".","",".","",".","",".",".","2.5
."
"Summary by Level","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".","40.0
."
"Senior","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Undergraduates","9","4.000","77.8","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","22.2
."
"Graduate","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Prof Yr 3","43","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"Prof Yr 4","28","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"Professionals","71","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"","Dept. Total
81","4.000","9.9","",".","",".",".","",".","",".","",".","87.7","",".",".","",".","",".","",".",".","2.5
."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","","","","","","","Page 379 of 480"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: The Law School uses a non-standard grade scale. Some of these grades cannot be mapped to our standard A/B, BC grading scale and are therefore excluded from this","","","","","","","","","","","","","","","","","","","","","","","","","",""
"report..","","","","","","","","","","","","","","","","","","","","","","","","","",""
