"","990
176","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
177","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
178","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","64","",".",".",".",".","",".","",".","",".","90.6","",".",".","",".","9.4","",".",".",".","."
"700
ONCOLOGY","Dept. Total","204","3.850","47.5","4.9","2.9","0.5","",".","",".","",".","40.7","",".",".","",".","2.9","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","15","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","33","3.975","97.0","3.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","51","3.984","98.0","2.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".",".","",".",".","25.0","."
"Graduate","","148","3.736","31.8","6.1","4.1","0.7","",".","",".","",".","53.4","",".",".","",".","4.1","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","204","3.850","47.5","4.9","2.9","0.5","",".","",".","",".","40.7","",".",".","",".","2.9","",".",".","0.5","."
