"ENGR MECHANICS & AEROSPA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","245","2.996","35.1","17.6","13.5","11.0","11.4","6.9","4.5",".",".",".",".",".",".",".",".","."
"","201
002","245","3.233","44.5","16.3","13.5","12.2","6.1","4.9","2.4",".",".",".",".",".",".",".",".","."
"Statics","Course Total","490","3.114","39.8","16.9","13.5","11.6","8.8","5.9","3.5",".",".",".",".",".",".",".",".","."
"Dynamics","202
001","124","3.222","18.5","26.6","37.1","16.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"","303
001","87","2.833","12.6","16.1","32.2","10.3","25.3","3.4",".",".",".",".",".",".",".",".",".","."
"","303
002","63","2.913","19.0","22.2","25.4","7.9","17.5","6.3","1.6",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","150","2.867","15.3","18.7","29.3","9.3","22.0","4.7","0.7",".",".",".",".",".",".",".",".","."
"","307
001","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
012","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","87","3.753","64.4","21.8","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","27","3.654","48.1","37.0","7.4",".","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","14","3.036","42.9",".","14.3","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","489
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Composite Materials","508
001","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","26","3.115","11.5","11.5","65.4","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","27","3.093","18.5","25.9","40.7",".","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","41","3.402","34.1","26.8","29.3","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","32","3.547","37.5","50.0","3.1","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"","599
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Special Topics: Engr Mech","601
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 137 of 480",""
