"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","29","3.704","65.5","27.6",".",".","6.9",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","116","3.858","81.0","11.2","6.0","1.7",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","190","3.867","84.7","7.4","4.7","1.1","1.1","0.5","",".",".","",".",".","",".",".","0.5",".",".","."
"Undergraduates","","339","3.836","80.8","10.3","5.3","1.8","1.2","0.3","",".",".","",".",".","",".",".","0.3",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","90","3.932","24.4","3.3",".",".",".",".","",".","24.4","",".","28.9","",".","18.9",".",".",".","."
"","Dept. Total","430","3.841","69.1","8.8","4.2","1.4","0.9","0.2","",".","5.1","",".","6.0","",".","4.0","0.2",".",".","."
