"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment
101","001","","29","3.964","89.7","6.9",".",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"Earth's Soil
131","002","","47","3.298","40.4","27.7","14.9","10.6",".",".","6.4",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use
132","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource
230","001","","55","2.943","32.7","16.4","12.7","12.7","9.1","7.3","5.5",".",".",".",".",".","3.6",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","9","3.885","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.813","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Nutrition Management
326","001","","8","3.571","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"HAZWOPER 40HR/Field Safety
330","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Animal Ag & Sustainable Devel
472","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Microbiology & Biochem
523","001","","16","3.679","56.3","12.5","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".","6.3","."
"Assessment-Environ Impact
575","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Soil & Environmental Sci
585","001","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt
631","001","","15","3.393","40.0","20.0","20.0",".","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs
695","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Graduate Seminar
728","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium: Envir Remed Mgmt
730","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Special Topics
875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","23","",".",".",".",".",".",".",".","65.2","4.3",".",".","30.4",".",".",".","."
