"Topics in Medieval Art","415
001","","2","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Topic in Medieval Literature","423
001","","2","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Old English","520
001","","4","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"633
MEDIEVAL","Dept. Total","","46","3.348","41.3","21.7","23.9","",".","4.3","6.5","",".","",".","2.2",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","15","3.533","53.3","26.7","13.3","",".",".","6.7","",".","",".",".",".","",".","",".","",".",".",".","."
"Junior","","","14","2.988","28.6","21.4","28.6","",".","7.1","14.3","",".","",".",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.490","41.2","17.6","29.4","",".","5.9",".","",".","",".","5.9",".","",".","",".","",".",".",".","."
"Undergraduates","","","46","3.348","41.3","21.7","23.9","",".","4.3","6.5","",".","",".","2.2",".","",".","",".","",".",".",".","."
"","Dept. Total","","46","3.348","41.3","21.7","23.9","",".","4.3","6.5","",".","",".","2.2",".","",".","",".","",".",".",".","."
