"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","180","3.514","52.2","21.7","13.3","4.4","3.9",".","2.2","2.2",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","46","3.198","10.9","26.1","50.0","2.2","4.3",".",".","4.3",".",".",".",".","2.2",".",".","."
"Global Environmental Issues","139","001","33","3.133","27.3","15.2","27.3","3.0","15.2","3.0",".","6.1",".",".",".",".","3.0",".",".","."
"Digital Globe:GIScience & Tech","170","001","483","3.441","50.3","17.2","12.8","5.8","9.5","1.4","0.2",".",".",".",".",".",".",".","2.7","."
"Soil: Ecosystem & Resource","230","001","10","1.611","10.0","10.0","10.0",".",".","40.0","20.0","10.0",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","14","3.643","42.9","50.0",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","38","3.797","65.8","23.7","7.9",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Intl Migrat, Health & Rights","307","001","38","3.829","73.7","18.4","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","27","3.667","74.1","3.7","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".",".","."
"Soccer, Politics, and Identity","311","001","46","3.442","43.5","30.4","6.5","4.3","4.3","2.2","2.2",".",".",".",".",".",".","6.5",".","."
"Geomorphology","320","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Polar Regions","322","001","15","3.393","20.0","40.0","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","23","3.714","56.5","21.7","8.7","4.3",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Green Urbanism","333","001","14","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","39","3.397","43.6","12.8","25.6","15.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","278","3.531","53.6","17.6","11.5","2.9","4.0","0.7","2.2","5.4",".",".",".",".","0.4",".","1.8","."
"Geography of Wisconsin","342","001","224","3.522","38.8","18.8","8.5","2.2","1.3",".","2.7","25.9",".",".",".",".","0.9",".","0.9","."
"Landscapes of American West","344","001","39","3.697","64.1","23.1","7.7",".",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Geog Traditions & Practices","365","001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","001","60","3.592","61.7","15.0","16.7","3.3",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"","370","070","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","30.0","."
"Introduction to Cartography","","Course Total","70","3.634","62.9","12.9","14.3","2.9",".","1.4","1.4",".",".",".",".",".",".",".","4.3","."
"Intro Envir Remote Sensing","371","001","21","3.050","33.3",".","38.1",".","19.0","4.8",".",".",".",".",".",".","4.8",".",".","."
"","377","001","50","3.590","58.0","12.0","26.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","377","070","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","55","3.627","61.8","10.9","23.6","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","070","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","001","12","3.458","50.0","25.0","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","475","002","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","27","3.704","70.4","14.8","7.4",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Power, Place, Identity","518","001","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","40","3.775","67.5","20.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","070","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","574","070","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","22","3.952","86.4","9.1",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","575","070","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 249 of 480",""
