"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","95","2.708","15.8","16.8","14.7","18.9","15.8","8.4","3.2",".",".",".",".",".",".","6.3",".","."
"","100","002","","122","3.663","59.0","23.0","11.5","2.5","0.8","1.6",".","1.6",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","","217","3.256","40.1","20.3","12.9","9.7","7.4","4.6","1.4","0.9",".",".",".",".",".","2.8",".","."
"Weather and Climate","101","001","","63","3.040","33.3","17.5","12.7","15.9","12.7","6.3","1.6",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","","21","3.405","42.9","28.6","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","30","3.583","53.3","30.0","3.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","","23","3.477","47.8","17.4","13.0","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Explorations of ATM OCN SCI","201","001","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polar Regions","322","001","","14","3.462","35.7","28.6","14.3","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","","24","3.632","50.0","8.3","16.7",".","4.2",".",".","20.8",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","","17","3.382","29.4","17.6","52.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meteorological Measurements","404","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","","7","3.500","28.6","28.6","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climatological Analysis","575","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","","22","3.571","31.8","45.5","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mesoscale Meteorology","753","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large-Scale Ocn-Atm Couplng","760","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Boundary Layer Meteorology","773","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth System Sci Seminar","980","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
