"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","138","3.855","82.6","11.6","3.6","1.4",".",".","0.7",".",".",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210","001","73","3.712","60.3","27.4","8.2","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt & Analys for Ind Eng","312","001","58","3.698","63.8","15.5","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","46","3.587","50.0","37.0","4.3","6.5",".",".","2.2",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","83","3.735","59.0","30.1","9.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","28","3.393","35.7","35.7","10.7","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"","321","001","9","3.111","22.2","33.3","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","321","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","003","16","3.594","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","28","3.393","35.7","35.7","10.7","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","43","3.000","14.0","18.6","30.2","27.9","9.3",".",".",".",".",".",".",".",".",".",".","."
"","348","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","80","3.663","52.5","32.5","11.3","2.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350","001","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","57","3.921","87.7","8.8","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","003","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","","Course Total","80","3.919","88.8","7.5","2.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Analys","415","001","28","3.125","25.0","25.0","21.4","14.3","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","59","3.831","76.3","15.3","6.8","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450","001","55","3.900","81.8","16.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","25","3.120","20.0","20.0","28.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","37","3.216","32.4","24.3","13.5","13.5","16.2",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Data Sci and ML","562","001","25","3.720","72.0","24.0",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","27","3.538","33.3","40.7","18.5","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"","603","001","17","3.647","58.8","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","603","002","23","3.870","87.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","603","003","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Engr Anlytcs and OR","","Course Total","48","3.740","70.8","14.6","8.3","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","604","002","45","2.978","15.6","22.2","26.7","22.2","11.1",".","2.2",".",".",".",".",".",".",".",".","."
"","604","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Manufacturing","","Course Total","49","3.051","20.4","22.4","24.5","20.4","10.2",".","2.0",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","16","3.406","37.5","31.3","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Info Sensing&Analysis-Manufact","612","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
