"L&S","","","","","","","","","","","","","","","","","","","","",""
"GERMAN, NORDIC, AND SLAVIC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Topics in GNS","270","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Kazakh","332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","440","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","471","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
GNS","","Dept. Total","","12","3.833","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
