"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"R M I","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","34","2.985","26.5","11.8","32.4","14.7","5.9","8.8","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","109","3.223","43.1","11.9","20.2","9.2","12.8","2.8","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","199","3.467","49.2","19.6","20.1","6.0","2.0","2.5","",".","0.5","",".",".","",".",".","",".",".",".","."
"Undergraduates","","343","3.339","44.9","16.3","21.6","7.9","5.8","3.2","",".","0.3","",".",".","",".",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","101","3.444","40.6","17.8","23.8","5.0","5.9",".","",".","5.0","",".",".","",".","2.0","",".",".",".","."
"","Dept. Total","446","3.365","44.2","16.6","22.0","7.2","5.8","2.5","",".","1.3","",".",".","",".","0.4","",".",".",".","."
