"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Sports Economics","321","002","88","3.282","22.7","31.8","26.1","14.8","3.4",".",".","1.1",".",".",".",".",".",".",".","."
"Money and Banking","330","001","82","3.117","22.0","26.8","20.7","20.7","3.7","4.9",".",".",".",".",".",".","1.2",".",".","."
"Environmental Economics","343","001","37","3.041","29.7","21.6","18.9","8.1","13.5","5.4","2.7",".",".",".",".",".",".",".",".","."
"","390","001","42","3.175","21.4","28.6","19.0","14.3","11.9",".",".",".",".",".",".",".","2.4","2.4",".","."
"","390","002","42","3.595","57.1","21.4","9.5","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","","Course Total","84","3.390","39.3","25.0","14.3","10.7","8.3",".",".",".",".",".",".",".","1.2","1.2",".","."
"Intro Applied Econometrics","400","001","100","3.095","24.0","20.0","20.0","23.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410","001","84","3.018","23.8","20.2","19.0","19.0","14.3","2.4","1.2",".",".",".",".",".",".",".",".","."
"","420","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","004","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","420","005","26","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","38","3.224","23.7","28.9","23.7","15.8","7.9",".",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","87","3.115","20.7","27.6","23.0","18.4","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Macroeconomic Policy","442","001","65","3.289","33.8","16.9","33.8","6.2","4.6","3.1",".",".",".",".",".",".","1.5",".",".","."
"Behavioral Economics","455","001","61","3.156","27.9","18.0","29.5","9.8","13.1","1.6",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","42","3.679","52.4","31.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","73","3.014","20.5","20.5","19.2","20.5","19.2",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","24","3.563","41.7","37.5","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Analys","521","001","29","3.224","37.9","17.2","20.7","13.8","3.4","6.9",".",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","94","3.149","23.4","21.3","26.6","21.3","6.4","1.1",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","13","3.308","38.5","15.4","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","33","3.375","21.2","36.4","33.3","6.1",".",".",".",".",".",".",".",".",".","3.0",".","."
"Fund Data Analytics for Econ","570","001","96","3.771","66.7","21.9","10.4","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Honors Thesis","581","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Markets and Models","621","001","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population Economics","623","001","17","2.853","29.4","11.8","17.6","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"","682","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in Economics","690","001","35","3.243","34.3","17.1","22.9","14.3","11.4",".",".",".",".",".",".",".",".",".",".","."
"","695","001","43","3.442","32.6","32.6","27.9","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","695","002","44","3.795","90.9",".","2.3",".","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"Econ Data Analysis","","Course Total","87","3.621","62.1","16.1","14.9","2.3","3.4",".","1.1",".",".",".",".",".",".",".",".","."
"","699","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
