"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","102
001","14","3.607","78.6","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","102
002","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Computing","Course Total","24","3.646","75.0","8.3","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"The Information Society","201
001","140","3.882","92.1","2.1","2.1","1.4","0.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","279","3.793","77.8","10.4","8.2","0.7","1.8","0.4","0.4",".",".",".",".",".","0.4",".",".","."
"Digital: Privacy & Technology","220
001","38","3.750","71.1","18.4","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","26","3.920","88.5",".","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"Intro to Digital Information","351
001","161","3.744","72.7","12.4","5.6","3.7","0.6","1.2","0.6",".",".",".",".",".",".",".","3.1","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","4","***","","","","","","","","","","","","","","","",""
"Data Storytelling","407
001","42","3.690","69.0","14.3","9.5",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Concepts of Data & Info Scienc","440
001","51","3.814","88.2","3.9","2.0","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","461
001","99","3.763","79.8","9.1","3.0","4.0","3.0",".","1.0",".",".",".",".",".",".",".",".","."
"","461
002","197","3.911","87.8","8.6","2.0","1.0","0.5",".",".",".",".",".",".",".",".",".",".","."
"","461
003","59","3.797","79.7","10.2","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","355","3.843","84.2","9.0","2.5","2.3","1.7",".","0.3",".",".",".",".",".",".",".",".","."
"Applied Database Design","464
001","92","3.712","66.3","23.9","3.3","3.3","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","470
001","40","3.788","72.5","17.5","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","500
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","500
004","27","3.574","55.6","22.2","7.4","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"","500
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Code and Power","Course Total","41","3.646","63.4","17.1","7.3","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","501
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
003","25","3.020","44.0","4.0","20.0","8.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","501
004","13","3.462","61.5",".","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","40","3.200","50.0","5.0","22.5","5.0","7.5","7.5","2.5",".",".",".",".",".",".",".",".","."
"","510
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
003","42","3.488","78.6","2.4","2.4","4.8",".","7.1","4.8",".",".",".",".",".",".",".",".","."
"","510
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
005","39","3.705","79.5","7.7","2.6",".","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Human Factors in Infosec","Course Total","90","3.628","80.0","5.6","2.2","2.2","3.3","4.4","2.2",".",".",".",".",".",".",".",".","."
"","517
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
005","13","2.923","23.1","7.7","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Digital Health","Course Total","20","3.059","25.0","10.0","20.0","20.0","5.0","5.0",".","10.0",".",".",".",".","5.0",".",".","."
"","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 286 of 480",""
