"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","656
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","","38","3.938","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","710
001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
003","","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","710
010","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Div, Opp & Soc Justice Soc Wrk","Course Total","","65","3.900","86.2","10.8","1.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
010","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
010","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","9","3.444","77.8",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","799
050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
006","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
101","","11","3.959","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
103","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
104","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","88","3.960","93.2","5.7","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Prac in Schools II","817
010","","29","3.931","96.6",".",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Soc Wrk Practicum Schools II","818
010","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","","24","3.688","58.3","33.3",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","840
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","840
010","","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","49","3.844","77.6","10.2","10.2",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","842
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","842
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","Course Total","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","863
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
