"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","16","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","33","3.955","93.9","",".","6.1","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","55","3.971","96.4","",".","3.6","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","21","3.429","4.8","",".","4.8","",".","",".","",".","",".","90.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","9","",".","",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","16","",".","",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","25","",".","",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
