"Muslims and Jews","462
001","","13","3.885","84.6","7.7","7.7",".","",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","699
001","","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
002","","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","Dept. Total","","38","3.786","81.6","10.5","2.6","",".","2.6","2.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","7","3.571","85.7",".",".","",".",".","14.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","10","3.850","70.0","30.0",".","",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.809","84.2","5.3","5.3","",".","5.3",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","37","3.780","81.1","10.8","2.7","",".","2.7","2.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","38","3.786","81.6","10.5","2.6","",".","2.6","2.6","",".","",".","",".",".","",".","",".","",".",".",".","."
