"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","117","3.145","8.5","42.7","29.9","12.0","5.1","0.9","0.9",".",".",".",".",".",".",".",".","."
"","300
002","44","3.250","9.1","47.7","31.8","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","300
003","41","3.378","22.0","46.3","22.0","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"","300
004","43","3.267","9.3","53.5","23.3","9.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"","300
005","40","3.388","17.5","55.0","15.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","41","3.402","22.0","48.8","19.5","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","300
007","41","3.488","22.0","61.0","9.8","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","39","3.385","17.9","56.4","17.9","5.1",".","2.6",".",".",".",".",".",".",".",".",".","."
"","300
009","47","3.340","8.5","57.4","27.7","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","50","3.810","66.0","30.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","49","3.816","65.3","32.7","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","43","3.326","14.0","48.8","25.6","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","595","3.391","22.5","47.2","20.2","7.4","2.2","0.3","0.2",".",".",".",".",".",".",".",".","."
"","305
001","60","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
100","37","3.149","40.5","10.8","24.3","8.1","10.8",".","5.4",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","97","3.660","74.2","7.2","9.3","3.1","4.1",".","2.1",".",".",".",".",".",".",".",".","."
"","310
001","36","3.431","25.0","41.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","21","3.357","47.6","19.0","19.0","4.8",".","9.5",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","Course Total","57","3.404","33.3","33.3","24.6","5.3",".","3.5",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","218","3.617","58.7","16.5","16.1","6.9","1.8",".",".",".",".",".",".",".",".",".",".","."
"","365
001","24","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","36","3.651","55.6","25.0","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
071","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
226","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","20","3.350","20.0","45.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","54","3.926","92.6","1.9","3.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org Effectvnss","420
001","42","3.893","85.7","9.5","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","51","3.980","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","39","3.436","30.8","43.6","20.5","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"","423
002","38","3.553","39.5","31.6","28.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
100","25","3.500","80.0","4.0",".",".","8.0",".","8.0",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","102","3.495","46.1","29.4","18.6","1.0","2.0",".","2.9",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Theory and Practice","604
001","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
