"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","234","3.713","65.0","20.1","6.8","3.8","2.1","0.4",".","0.4",".",".",".",".","0.4",".","0.9","."
"","103","001","391","3.687","66.2","20.5","6.4","2.8","2.3","1.3","0.5",".",".",".",".",".",".",".",".","."
"","103","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","411","3.702","67.9","19.5","6.1","2.7","2.2","1.2","0.5",".",".",".",".",".",".",".",".","."
"GenderSexuality&GlobalHealth","104","001","111","3.841","79.3","9.0","5.4","1.8",".","0.9",".",".",".",".",".",".","1.8",".","1.8","."
"Intro to LGBTQ+ Studies","200","002","92","3.315","41.3","18.5","19.6","7.6","6.5",".","3.3","3.3",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","30","3.583","60.0","16.7","10.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","248","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","","Course Total","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","320","002","39","3.795","79.5","15.4","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","320","003","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","","Course Total","54","3.741","70.4","22.2","3.7",".","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","25","3.600","88.0",".",".",".","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","003","16","3.375","50.0",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Women in the Classical World","351","001","18","3.265","27.8","22.2","27.8","5.6","11.1",".",".",".",".",".",".",".",".","5.6",".","."
"Disability, Gender & Sexuality","374","001","35","3.829","82.9","11.4","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women and the Law","422","001","18","3.750","88.9","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","425","001","18","3.694","50.0","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","425","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Crime, Gender and Justice","","Course Total","23","3.609","47.8","39.1","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","435","001","14","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","435","002","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Politics Gender Rights MidEast","","Course Total","22","3.500","40.9","31.8","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Queer of Color Critique","446","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449","001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449","003","38","3.865","89.5",".","2.6",".","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","","Course Total","78","3.935","94.9",".","1.3",".","2.6",".",".","1.3",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","12","3.773","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Carmen Miranda","460","001","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","463","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian Amer Women Writers","464","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Framing Fatness","523","001","43","3.841","74.4","14.0","4.7","2.3",".",".",".",".",".",".",".",".","4.7",".",".","."
"Gender&GlobalHealth-CritPersp","525","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","23","3.413","43.5","21.7","21.7","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"Topics: Gender & Biology","533","001","38","3.905","78.9","18.4",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
