"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","24","3.115","33.3","12.5","25.0","12.5","4.2","12.5",".",".","",".",".","",".",".",".",".",".","."
"Junior","82","3.380","46.3","15.9","20.7","7.3","7.3","2.4",".",".","",".",".","",".",".",".",".",".","."
"Senior","199","3.545","58.8","15.1","15.1","7.0","3.5","0.5",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","307","3.464","53.4","15.0","17.3","7.8","4.6","2.0",".",".","",".",".","",".",".",".",".",".","."
"Special","18","3.566","55.6","22.2","5.6","11.1",".",".",".",".","",".",".","",".",".",".",".","5.6","."
"Graduate","302","3.851","47.0","7.6","2.3","0.3","0.7",".","0.3","20.2","",".","19.5","",".","2.0",".",".",".","."
"Prof Yr 1","186","3.281","33.9","22.6","24.2","7.5","9.1","2.2",".",".","",".",".","",".",".","0.5",".",".","."
"Prof Yr 2","198","3.637","56.6","20.2","18.2","3.5","1.5",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","389","3.457","46.3","21.1","20.8","5.4","5.1","1.0",".",".","",".",".","",".",".","0.3",".",".","."
