"ALS","","","","","","","","","","","","","","","","","","","","",""
"ANIMAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","",""
"604
AN SCI","Dept. Total","628","3.324","41.6","15.3","17.2","8.3","8.0","1.4","0.6","5.1","",".",".","",".","1.9","0.5",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","31","3.006","41.9","9.7","6.5","12.9","19.4","3.2","3.2",".","",".",".","",".",".","3.2",".",".","."
"Sophomore","","119","3.224","46.2","10.1","17.6","7.6","13.4","1.7","1.7","0.8","",".",".","",".",".","0.8",".",".","."
"Junior","","176","3.173","35.2","17.6","21.0","9.1","12.5","2.8","0.6","1.1","",".",".","",".",".",".",".",".","."
"Senior","","201","3.545","52.7","17.9","16.9","8.0","2.5","0.5",".",".","",".",".","",".","0.5","0.5",".","0.5","."
"Undergraduates","","527","3.315","44.8","15.6","17.8","8.5","9.3","1.7","0.8","0.6","",".",".","",".","0.2","0.6",".","0.2","."
"Special","","7","3.308","28.6","14.3","14.3","14.3",".",".",".","28.6","",".",".","",".",".",".",".",".","."
"Graduate","","94","3.393","24.5","13.8","13.8","6.4","1.1",".",".","28.7","",".",".","",".","11.7",".",".",".","."
"","Dept. Total","628","3.324","41.6","15.3","17.2","8.3","8.0","1.4","0.6","5.1","",".",".","",".","1.9","0.5",".","0.2","."
