"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","3931","3.183","37.8","15.3","19.7","9.9","12.5","2.1","0.8","1.3","",".","0.1","",".","0.1","0.4",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","37","3.020","24.3","18.9","24.3","10.8","13.5","2.7","2.7",".","",".",".","",".",".","2.7",".",".","."
"Sophomore","","573","3.040","29.8","14.3","22.3","12.4","15.2","4.0","1.2","0.2","",".",".","",".",".","0.5",".",".","."
"Junior","","1316","3.043","31.5","12.4","21.7","12.8","17.7","2.7","0.8",".","",".",".","",".",".","0.5",".",".","."
"Senior","","1322","3.212","37.2","17.2","21.1","9.8","11.6","1.7","1.1",".","",".","0.2","",".",".","0.3",".",".","."
"Undergraduates","","3248","3.109","33.5","14.7","21.6","11.5","14.7","2.5","1.0","0.0","",".","0.1","",".",".","0.4",".",".","."
"Special","","130","3.606","56.2","25.4","6.9","2.3","6.2",".","0.8","2.3","",".",".","",".",".",".",".",".","."
"Graduate","","551","3.666","58.8","16.0","11.4","2.7","1.3",".",".","8.7","",".",".","",".","0.5","0.2",".","0.4","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3931","3.183","37.8","15.3","19.7","9.9","12.5","2.1","0.8","1.3","",".","0.1","",".","0.1","0.4",".","0.1","."
