"MANAGEMENT AND HUMAN RES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Strategic Talent Management","611","001","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"People Analytics","614","001","","37","3.797","70.3","21.6","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Organizations","617","001","","24","3.375","54.2","8.3","16.7",".","20.8",".",".",".",".",".",".",".",".",".",".","."
"","628","001","","35","3.871","82.9","8.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","002","","30","3.862","80.0","10.0","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"","628","050","","56","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","051","","37","3.892","97.3",".",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","","158","3.901","89.2","6.3","2.5","0.6",".",".","0.6","0.6",".",".",".",".",".",".",".","."
"Entrepreneurship-Arts&CultOrgs","636","001","","28","3.732","64.3","17.9","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704","050","","55","3.436","25.5","43.6","23.6","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710","001","","40","3.538","32.5","42.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715","001","","44","3.920","84.1","15.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leading Change in Orgs","720","001","","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722","001","","43","3.942","88.4","11.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","003","","30","3.367","16.7","40.0","43.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","020","","36","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","021","","34","3.603","44.1","32.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","050","","55","3.582","43.6","32.7","21.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","723","051","","38","3.605","50.0","26.3","21.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","","Course Total","","193","3.538","40.9","30.6","27.5",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Growth Strategies","724","050","","65","3.623","33.8","56.9","9.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728","001","","32","3.438","40.6","18.8","31.3","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Impact Consulting for Arts II","747","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev for Arts Leadership","750","001","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Arts Administration","774","001","","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Learn in Hum Res Mgmt","775","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic HR Mgmt Capstone","776","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","799","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Org Behavior & Design","872","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","228","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","","Course Total","","2","***","","","","","","","","","","","","","","","",""
