"HEC","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Ecology of Human Happiness","201
001","108","3.371","45.4","17.6","21.3","0.9","8.3","1.9","1.9",".",".","",".",".","",".","","",".","2.8",".","."
"","202
001","190","3.471","51.6","16.8","18.4","4.7","6.3","2.1",".",".",".","",".",".","",".","","",".",".",".","."
"","202
002","187","3.425","52.4","13.4","17.1","7.5","7.0","2.1","0.5",".",".","",".",".","",".","","",".",".",".","."
"","202
102","2","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"SoHE Career & Leadership Dev","Course Total","379","3.447","52.0","15.0","17.7","6.3","6.6","2.1","0.3",".","",".",".","",".","",".","",".",".",".","."
"Human Ecology Special Topics","301
002","13","3.308","46.2","15.4","7.7","15.4","15.4",".",".",".",".","",".",".","",".","","",".",".",".","."
"","815
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"","815
002","13","3.846","69.2","30.8",".",".",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"","815
003","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"Prof Skills for Comm Leaders","Course Total","34","3.853","76.5","17.6","5.9",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Capstone Seminar","980
001","3","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"498
INTER-HE","Dept. Total","537","3.427","51.8","15.6","17.3","5.0","6.7","1.9","0.6","0.6","",".",".","",".","",".","",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.438","35.7","28.6","21.4","7.1",".","7.1",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","86","3.372","47.7","16.3","19.8","5.8","8.1","2.3",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","248","3.437","55.2","14.9","17.3","4.4","5.6","1.2","1.2",".","",".",".","",".","",".","",".",".",".","."
"Senior","","153","3.406","47.1","15.7","19.0","6.5","9.2","2.6",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","501","3.413","50.9","15.8","18.4","5.4","7.0","2.0","0.6",".","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.333","50.0",".",".",".","12.5",".",".",".","",".",".","",".","",".","",".","37.5",".","."
"Graduate","","28","3.860","67.9","17.9","3.6",".",".",".",".","10.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","537","3.427","51.8","15.6","17.3","5.0","6.7","1.9","0.6","0.6","",".",".","",".","",".","",".","0.6",".","."
