"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
944
URB R PL","302","3.866","80.1","10.9","3.3","1.0","0.7","",".","",".","3.0","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","27","3.981","96.3","3.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","58","3.871","87.9","6.9","1.7","1.7","1.7","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","47","3.820","78.7","12.8","4.3","4.3",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","66","3.764","68.2","19.7","9.1",".","1.5","",".","",".",".","",".",".","",".","",".","1.5",".",".","."
"Undergraduates","198","3.837","80.3","12.1","4.5","1.5","1.0","",".","",".",".","",".",".","",".","",".","0.5",".",".","."
"Special","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","98","3.937","79.6","8.2","1.0",".",".","",".","",".","9.2","",".",".","",".","",".","2.0",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","302","3.866","80.1","10.9","3.3","1.0","0.7","",".","",".","3.0","",".",".","",".","",".","1.0",".",".","."
