"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies
101","001","","72","3.679","52.8","33.3","5.6","4.2","1.4",".",".",".",".",".",".",".","2.8",".",".","."
"110","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"110","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"110","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Learning Community Sem","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"210","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"210","002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"210","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"210","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"210","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"210","006","","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"210","007","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intl Learning Community Lang","Course Total","","44","",".",".",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".","."
"Soccer, Politics, and Identity
311","001","","40","3.731","67.5","20.0","2.5","2.5","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"320","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"320","002","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education
335","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ
374","001","","6","2.917","16.7","16.7","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"401","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"401","003","","20","3.725","60.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"401","004","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","005","","10","3.222",".","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Topics in Global Security","Course Total","","67","3.762","62.7","25.4","6.0","3.0",".",".",".","1.5",".",".",".",".",".","1.5",".","."
"403","001","","14","3.577","42.9","21.4","28.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"403","002","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Culture in Age of Globalizatn","Course Total","","30","3.804","70.0","10.0","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Women's Global Health
535","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Global Econ
602","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Topics:Culture-Age of Globlztn
603","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"620","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-International Studies","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis
692","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 272 of 480",""
