"","990
032","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
040","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
045","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","25","",".",".",".",".",".",".","",".","76.0","",".",".","",".","24.0",".",".",".","."
"292
DY SCI","Dept. Total","198","3.664","68.2","6.1","4.5","2.0","5.1","1.0","",".","9.6","",".",".","",".","3.0","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","13","3.909","76.9",".","15.4",".",".",".","",".",".","",".",".","",".",".","7.7",".",".","."
"Junior","","21","3.102","61.9","4.8","4.8",".","19.0","9.5","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","85","3.664","72.9","8.2","7.1","4.7","7.1",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","123","3.607","72.4","6.5","7.3","3.3","8.1","1.6","",".",".","",".",".","",".",".","0.8",".",".","."
"Graduate","","75","3.964","61.3","5.3",".",".",".",".","",".","25.3","",".",".","",".","8.0",".",".",".","."
"","Dept. Total","198","3.664","68.2","6.1","4.5","2.0","5.1","1.0","",".","9.6","",".",".","",".","3.0","0.5",".",".","."
