"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"621","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"621","079","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"621","099","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","","217","3.975","96.8","0.9","0.9","0.9",".",".",".",".",".",".",".",".","0.5",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis Seminar in Psych
686","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","3.962","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr-Experimental Psych
701","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr in Social Psychology
703","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar-Clinical Psych
704","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr-Developmental Psych
706","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar-Biological Psych
707","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
