"LATIN AMER, CARIB & IBERIAN  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","",""
"Advanced Quechua
364","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Migration & Migrant Experience
367","001","","9","3.929","66.7","11.1",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Second Semester Yucatec Maya
377","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"440","001","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"440","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"440","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"440","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","Course Total","","15","3.944","80.0","6.7",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
