"AGRICULTURAL AND APPLIED E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","30","3.333","36.7","26.7","13.3","13.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","40","3.590","60.0","17.5","7.5","2.5","10.0",".",".","2.5",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","26","3.652","46.2","23.1","19.2",".",".",".",".","7.7",".",".",".",".",".",".","3.8","."
"","306","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Commodity Markets","322","001","28","2.964","39.3","7.1","17.9","14.3","3.6","17.9",".",".",".",".",".",".",".",".",".","."
"Cooperatives","323","001","8","3.375","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","113","3.372","27.4","40.7","18.6","8.8","2.7","1.8",".",".",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture","367","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","16","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Finance","419","001","25","3.820","80.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","15","3.643","46.7","26.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","6","3.600","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"Natural Resource Economics","531","001","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agribusiness Econ & Management","625","001","14","3.808","57.1","35.7",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Appl. Econometric Analysis II","637","001","25","3.565","48.0","12.0","28.0","4.0",".",".",".","4.0",".",".",".",".","4.0",".",".","."
"Fndtns Agricultural Economics","641","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Environ/Resource Econ","643","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","107","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","108","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Applied Business Economics","719","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Comm of Applied Econ Anly","721","001","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Development Economics 1","730","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir & Resource Econ 1","760","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium","780","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 1 of 480"
