"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","101
002","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","13","3.708","61.5","23.1",".",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","101
004","","13","3.423","53.8","30.8",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","101
005","","16","3.406","43.8","31.3","12.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","","66","3.617","59.1","24.2","6.1","1.5","3.0","1.5","1.5","3.0",".",".",".",".",".",".",".","."
"","102
001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","19","3.263","42.1","26.3","5.3","5.3","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","102
004","","23","3.739","56.5","39.1",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","","83","3.645","57.8","27.7","7.2","2.4","3.6","1.2",".",".",".",".",".",".",".",".",".","."
"","203
001","","10","3.200","20.0","40.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","13","3.269","46.2","7.7","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","203
003","","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","","37","3.432","48.6","16.2","16.2","10.8","8.1",".",".",".",".",".",".",".",".",".",".","."
"","204
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","20","3.421","50.0","10.0","20.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","","56","3.718","67.9","16.1","8.9","3.6",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"French Lit & Interdis Studies","211
001","","156","3.546","49.4","29.5","9.0","3.8","2.6","3.2",".","1.3",".",".",".",".","1.3",".",".","."
"","228
001","","20","3.475","45.0","30.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","228
004","","26","3.558","53.8","23.1","15.4","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","46","3.522","50.0","26.1","13.0","4.3","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","271
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","17","3.735","58.8","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","30","3.817","70.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Comics & Film in French","Course Total","","58","3.784","65.5","27.6","5.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Writing Workshop","312
001","","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Issues in Buss,Gov&NGO","314
001","","33","3.773","60.6","33.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
00A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
00B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad: Adv French Lang","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Modern French&Francophone Lit","322
001","","30","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"FR Fashion - Mid Ages to Today","345
001","","35","3.500","54.3","34.3",".","2.9","2.9",".","5.7",".",".",".",".",".",".",".",".","."
"Medievl &Early Mod Culture","347
001","","21","3.675","61.9","14.3","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462
001","","21","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Critical Approaches","569
001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Literature and Culture","672
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","799
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 247 of 480",""
