"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","102
001","31","3.452","64.5","16.1","6.5","3.2",".","3.2","6.5",".",".",".",".",".",".",".",".","."
"","102
002","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Computing","Course Total","58","3.638","69.0","19.0","5.2","1.7",".","1.7","3.4",".",".",".",".",".",".",".",".","."
"","200
001","137","3.407","43.8","21.9","19.7","7.3","2.2","2.2","1.5",".",".",".",".",".","1.5",".",".","."
"","200
002","40","3.338","37.5","30.0","12.5","2.5","2.5","5.0","2.5",".",".",".",".",".",".","5.0","2.5","."
"","200
003","145","3.382","40.7","28.3","15.2","6.2","5.5","2.1","1.4",".",".",".",".",".","0.7",".",".","."
"Programming I","Course Total","322","3.388","41.6","25.8","16.8","6.2","3.7","2.5","1.6",".",".",".",".",".","0.9","0.6","0.3","."
"","220
001","212","3.196","16.5","30.7","39.2","8.5","2.8","1.9","0.5",".",".",".",".",".",".",".",".","."
"","220
002","213","3.239","18.3","37.1","33.3","6.1","1.9","1.9","1.4",".",".",".",".",".",".",".",".","."
"","220
003","140","3.250","19.3","38.6","31.4","4.3","2.9","2.1","1.4",".",".",".",".",".",".",".",".","."
"","220
004","205","3.215","22.0","28.3","35.6","6.8","4.4","2.0","1.0",".",".",".",".",".",".",".",".","."
"Data Sci Programming I","Course Total","770","3.223","19.0","33.2","35.2","6.6","3.0","1.9","1.0",".",".",".",".",".",".",".",".","."
"","240
001","187","3.091","27.8","10.7","35.8","11.8","10.2","1.6","1.6",".",".",".",".",".","0.5",".",".","."
"","240
002","195","3.208","31.3","14.4","32.3","12.8","8.2",".","1.0",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","382","3.151","29.6","12.6","34.0","12.3","9.2","0.8","1.3",".",".",".",".",".","0.3",".",".","."
"","252
002","209","3.476","56.5","14.8","11.5","4.8","6.7","3.3","0.5",".",".",".",".",".","1.9",".",".","."
"","252
004","209","3.382","50.2","17.2","12.0","5.7","10.5","2.4","1.0",".",".",".",".",".","1.0",".",".","."
"","252
005","184","3.334","50.5","17.9","11.4","5.4","7.6","5.4","1.6",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","602","3.399","52.5","16.6","11.6","5.3","8.3","3.7","1.0",".",".",".",".",".","1.0",".",".","."
"","298
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
167","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
185","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","205","3.071","20.0","24.9","33.2","9.8","6.3","3.4","2.4",".",".",".",".",".",".",".",".","."
"","300
002","229","3.114","24.5","24.0","32.3","7.4","4.4","5.2","2.2",".",".",".",".",".",".",".",".","."
"","300
003","133","3.102","18.8","27.1","29.3","14.3","6.0","4.5",".",".",".",".",".",".",".",".",".","."
"","300
004","168","2.960","19.0","16.1","29.2","21.4","3.6","8.3",".",".",".",".",".",".","2.4",".",".","."
"Programming II","Course Total","735","3.065","21.0","23.0","31.3","12.5","5.0","5.3","1.4",".",".",".",".",".","0.5",".",".","."
"","304
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
004","7","3.833","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","304
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","11","3.700","72.7",".","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","319
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
004","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Sci Prgmg I - Research","Course Total","27","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","182","3.824","81.3","9.9","5.5","2.2",".","0.5","0.5",".",".",".",".",".",".",".",".","."
"","320
002","180","3.814","81.7","8.9","7.2","0.6",".","0.6","1.1",".",".",".",".",".",".",".",".","."
"","320
003","144","3.594","49.3","29.9","13.2","3.5","3.5",".",".",".",".",".",".",".","0.7",".",".","."
"Data Sci Programming II","Course Total","506","3.755","72.3","15.2","8.3","2.0","1.0","0.4","0.6",".",".",".",".",".","0.2",".",".","."
"","352
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","8","3.375","37.5","37.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 223 of 480",""
