"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","099","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatric Audiology
832","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn
836","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab
849","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I
856","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I
857","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I
858","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I
859","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path II
862","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II
866","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Mthds for Audiologists
867","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"891","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"891","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"891","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"891","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology I","Course Total","","12","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"892","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"892","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"892","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology II","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Clerkship in Audiology III
893","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Externship in Audiology
894","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","9","3.904","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","Course Total","","20","3.949","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Prob in Audiology
921","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 220 of 480",""
