"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","399","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","116","","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","50","3.934","86.0","6.0","2.0",".",".",".",".",".",".",".",".",".","6.0",".",".","."
"Electroacoustical Engr","401","001","","62","3.637","69.4","8.1","19.4",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","15","3.500","73.3","6.7",".",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","27","3.630","48.1","29.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434","001","","19","3.611","52.6","21.1","10.5","10.5",".",".",".",".",".",".",".",".","5.3",".",".","."
"","435","001","","11","2.500","9.1",".","54.5","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","435","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cryptography","","Course Total","","13","2.577","7.7",".","61.5","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"Communication Systems II","437","001","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","31","3.855","71.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454","001","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","10","3.000","30.0",".","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","489","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Design Project","491","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","506","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","","Course Total","","13","3.769","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","18","3.333","27.8","16.7","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","","36","3.319","41.7","11.1","25.0","19.4",".","2.8",".",".",".",".",".",".",".",".",".","."
"","532","002","","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","","43","3.372","46.5","11.6","20.9","16.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539","001","","15","3.133","13.3","33.3","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"IC Fabrication Lab","549","001","","10","3.050","20.0","20.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","85","3.276","24.7","24.7","38.8","9.4","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","62","3.516","45.2","32.3","16.1","3.2",".","1.6","1.6",".",".",".",".",".",".",".",".","."
