"","990
073","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
075","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
083","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","33","",".",".",".",".","",".",".","",".","81.8","",".",".","",".","18.2",".",".",".","."
"703
PATH-BIO","Dept. Total","811","3.793","51.8","10.5","4.2","0.7","",".","0.1","",".","31.3","",".",".","",".","0.7","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","7","3.684","57.1","28.6","14.3",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","25","3.786","84.0","4.0","4.0",".","",".","4.0","",".","4.0","",".",".","",".",".",".",".",".","."
"Undergraduates","","35","3.769","77.1","11.4","5.7",".","",".","2.9","",".","2.9","",".",".","",".",".",".",".",".","."
"Graduate","","53","3.923","37.7",".","3.8",".","",".",".","",".","47.2","",".",".","",".","11.3",".",".",".","."
"Prof Yr 1","","191","3.883","40.8","5.8","2.1","0.5","",".",".","",".","50.3","",".",".","",".",".","0.5",".",".","."
"Prof Yr 2","","389","3.730","49.4","13.9","5.4","1.3","",".",".","",".","29.0","",".",".","",".",".","1.0",".",".","."
"Prof Yr 3","","94","3.859","75.5","17.0","5.3",".","",".",".","",".","2.1","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","49","4.000","65.3",".",".",".","",".",".","",".","34.7","",".",".","",".",".",".",".",".","."
"Professionals","","723","3.792","51.6","11.2","4.1","0.8","",".",".","",".","31.5","",".",".","",".",".","0.7",".",".","."
"","Dept. Total","811","3.793","51.8","10.5","4.2","0.7","",".","0.1","",".","31.3","",".",".","",".","0.7","0.6",".",".","."
