"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","67","2.813","23.9","20.9","19.4","7.5","11.9","11.9","4.5",".",".",".",".",".",".",".",".","."
"","101
002","96","2.527","16.7","6.3","27.1","9.4","22.9","8.3","7.3",".",".",".",".",".","1.0",".","1.0","."
"Animal Biology","Course Total","163","2.646","19.6","12.3","23.9","8.6","18.4","9.8","6.1",".",".",".",".",".","0.6",".","0.6","."
"","102
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","11","3.182","36.4","18.2","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","7","3.000","28.6",".","57.1",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
005","6","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","3.000","14.3",".","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
009","7","2.929","28.6",".","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
010","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","7","2.500","14.3",".","28.6","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"","102
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","80","3.081","26.3","18.8","27.5","12.5","8.8","6.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","61","2.861","16.4","14.8","34.4","6.6","23.0","3.3","1.6",".",".",".",".",".",".",".",".","."
"","152
001","98","3.129","37.8","8.2","29.6","7.1","10.2","3.1","3.1",".",".",".",".",".","1.0",".",".","."
"","152
002","103","3.455","49.5","11.7","26.2","1.9","7.8","1.0",".",".",".",".",".",".","1.9",".",".","."
"Introductory Biology","Course Total","201","3.295","43.8","10.0","27.9","4.5","9.0","2.0","1.5",".",".",".",".",".","1.5",".",".","."
"Introductory Biology","153
001","37","2.716","13.5","10.8","29.7","13.5","24.3","8.1",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","200
001","38","3.237","26.3","39.5","10.5","13.2","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","32","2.859","21.9","12.5","25.0","15.6","15.6","9.4",".",".",".",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aquatic Invertebrate Biology","303
001","55","3.727","69.1","16.4","7.3","5.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","20","3.275","35.0","30.0","15.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Parasitology","350
001","24","3.292","33.3","8.3","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"General Molecular Biology","370
001","10","2.188",".",".","40.0","10.0","10.0","10.0","10.0","20.0",".",".",".",".",".",".",".","."
"","400
002","32","3.547","59.4","6.3","25.0","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"","400
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
