"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"SE Practicum: Early Child-Elem","475
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
001","","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","476
002","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","Course Total","","36","3.833","80.6","11.1","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: PK - Gr 9","477
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: Gr. 4-12","478
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","32","3.922","93.8",".","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","505
002","","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","66","3.947","93.9","3.0","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partnering w/ Families","510
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Forensic Rehab","535
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","","15","3.973","80.0","6.7",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","630
191","","9","3.741","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
192","","7","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
199","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","50","3.917","80.0","16.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Special Topics","660
099","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Reh & MH Cnslg-Assessment","720
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Addictions Counseling","721
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Career Devel","725
001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Reh Cnslg-Med & Psychsoc","750
001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","860
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-AssessThry&Rsrch","870
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Spec Education","872
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract III","900
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","910
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reh Coun Ed-Teaching","930
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 85 of 480",""
